Year,Month,State,City,AVG_Max_High_Temp
2022,October,MD,Adelphi,82.52425484793524
2022,November,MD,Adelphi,72.44250435965401
2022,December,MD,Adelphi,66.39295078822543
2023,January,MD,Adelphi,62.68841064453123
2023,February,MD,Adelphi,64.61990652901785
2023,March,MD,Adelphi,70.84864449637273
2023,April,MD,Adelphi,83.1608157784598
2023,May,MD,Adelphi,89.86647024972096
2023,June,MD,Adelphi,96.66402273995534
2006,January,CA,Albany,65.50368861607141
2006,February,CA,Albany,68.57574061802451
2006,March,CA,Albany,72.17949951171872
2006,April,CA,Albany,74.96814610072542
2006,May,CA,Albany,77.66617117745534
2006,June,CA,Albany,81.2951646205357
2006,July,CA,Albany,81.55249843052452
2006,August,CA,Albany,81.82277518136159
2006,September,CA,Albany,83.27748011997767
2006,October,CA,Albany,81.35850603376115
2006,November,CA,Albany,73.83750906808034
2006,December,CA,Albany,67.62562726702008
2007,January,CA,Albany,66.12690900530131
2007,February,CA,Albany,70.59147548130579
2007,March,CA,Albany,72.53664149693077
2007,April,CA,Albany,74.04451503208705
2007,May,CA,Albany,77.04283830915179
2007,June,CA,Albany,80.6906968470982
2007,July,CA,Albany,81.6524661690848
2007,August,CA,Albany,82.51880353655133
2007,September,CA,Albany,83.28111345563616
2007,October,CA,Albany,81.70683279854907
2007,November,CA,Albany,74.80981218610488
2007,December,CA,Albany,66.19109531947542
2008,January,CA,Albany,67.30077985491069
2008,February,CA,Albany,68.19618390764506
2008,March,CA,Albany,71.1407500348772
2008,April,CA,Albany,75.49391775948659
2008,May,CA,Albany,78.59688842773434
2008,June,CA,Albany,80.47008353097095
2008,July,CA,Albany,81.52382934570312
2008,August,CA,Albany,81.54108572823658
2008,September,CA,Albany,84.08448608398436
2008,October,CA,Albany,81.54943010602678
2008,November,CA,Albany,73.6483663504464
2008,December,CA,Albany,64.82836687360488
2009,January,CA,Albany,64.73494123186383
2009,February,CA,Albany,68.8157709612165
2009,March,CA,Albany,72.07161638532364
2009,April,CA,Albany,74.1711376953125
2009,May,CA,Albany,77.21357892717631
2009,June,CA,Albany,80.23028076171873
2009,July,CA,Albany,80.12109235491069
2009,August,CA,Albany,81.17381277901782
2009,September,CA,Albany,83.43841936383926
2009,October,CA,Albany,81.73028599330354
2009,November,CA,Albany,74.42074707031249
2009,December,CA,Albany,65.835766078404
2010,January,CA,Albany,65.35850167410712
2010,February,CA,Albany,68.02803815569196
2010,March,CA,Albany,71.9129921177455
2010,April,CA,Albany,75.87297223772319
2010,May,CA,Albany,77.73509207589282
2010,June,CA,Albany,79.75124285016739
2010,July,CA,Albany,81.63848475864951
2010,August,CA,Albany,80.73496651785713
2010,September,CA,Albany,82.94114153180801
2010,October,CA,Albany,82.00372262137275
2010,November,CA,Albany,73.01891775948658
2010,December,CA,Albany,65.76848266601559
2011,January,CA,Albany,65.68533185686381
2011,February,CA,Albany,68.63834699358257
2011,March,CA,Albany,71.46773193359374
2011,April,CA,Albany,75.22418509347096
2011,May,CA,Albany,77.82499686104909
2011,June,CA,Albany,80.11237391880579
2011,July,CA,Albany,80.79273629324773
2011,August,CA,Albany,80.861502859933
2011,September,CA,Albany,84.63762416294642
2011,October,CA,Albany,81.32685494559149
2011,November,CA,Albany,75.12574236188615
2011,December,CA,Albany,66.26495221819197
2012,January,CA,Albany,65.7376032366071
2012,February,CA,Albany,69.95104579380579
2012,March,CA,Albany,72.3959197126116
2012,April,CA,Albany,75.9070298549107
2012,May,CA,Albany,78.01836408342632
2012,June,CA,Albany,80.07047938755579
2012,July,CA,Albany,81.70273908342631
2012,August,CA,Albany,81.76557826450892
2012,September,CA,Albany,83.75270943777898
2012,October,CA,Albany,80.71254394531249
2012,November,CA,Albany,75.51319614955355
2012,December,CA,Albany,66.18745936802455
2013,January,CA,Albany,65.49873692103792
2013,February,CA,Albany,69.41871895926337
2013,March,CA,Albany,71.81385620117186
2013,April,CA,Albany,74.04327253069194
2013,May,CA,Albany,77.95443934849327
2013,June,CA,Albany,80.87082815987719
2013,July,CA,Albany,81.60707432338165
2013,August,CA,Albany,81.17171491350445
2013,September,CA,Albany,83.70784859793524
2013,October,CA,Albany,81.37098597935267
2013,November,CA,Albany,74.85493983677452
2013,December,CA,Albany,65.21965018136159
2014,January,CA,Albany,66.12235491071426
2014,February,CA,Albany,69.5757109723772
2014,March,CA,Albany,71.70785382952008
2014,April,CA,Albany,74.13425502232141
2014,May,CA,Albany,77.8431112234933
2014,June,CA,Albany,81.47755336216517
2014,July,CA,Albany,81.82805123465398
2014,August,CA,Albany,82.07198695591515
2014,September,CA,Albany,82.93883178710935
2014,October,CA,Albany,81.65782331194194
2014,November,CA,Albany,74.20262137276784
2014,December,CA,Albany,67.15204589843746
2015,January,CA,Albany,65.37663434709819
2015,February,CA,Albany,70.09766357421873
2015,March,CA,Albany,72.97076363699773
2015,April,CA,Albany,74.61980887276782
2015,May,CA,Albany,78.14519862583704
2015,June,CA,Albany,81.08937761579239
2015,July,CA,Albany,82.6518558175223
2015,August,CA,Albany,82.10308349609373
2015,September,CA,Albany,82.26315168108256
2015,October,CA,Albany,81.65286900111603
2015,November,CA,Albany,75.06251604352676
2015,December,CA,Albany,67.51573521205354
2016,January,CA,Albany,65.64562151227676
2016,February,CA,Albany,69.89655883789061
2016,March,CA,Albany,71.34123744419641
2016,April,CA,Albany,74.3928679547991
2016,May,CA,Albany,78.61044346400668
2016,June,CA,Albany,80.42983171735489
2016,July,CA,Albany,80.99786934988836
2016,August,CA,Albany,82.01599068777902
2016,September,CA,Albany,82.5841067940848
2016,October,CA,Albany,81.41791329520088
2016,November,CA,Albany,73.87830496651782
2016,December,CA,Albany,66.85342965262274
2017,January,CA,Albany,65.37804425920756
2017,February,CA,Albany,70.06791678292409
2017,March,CA,Albany,71.6912592424665
2017,April,CA,Albany,76.14655273437498
2017,May,CA,Albany,79.00505667550222
2017,June,CA,Albany,82.01570556640623
2017,July,CA,Albany,82.22701189313614
2017,August,CA,Albany,81.68018572126114
2017,September,CA,Albany,83.3222415597098
2017,October,CA,Albany,81.83252947126114
2017,November,CA,Albany,75.3046364048549
2017,December,CA,Albany,67.19993321010043
2018,January,CA,Albany,65.56905203683034
2018,February,CA,Albany,70.51222481863836
2018,March,CA,Albany,73.28218680245534
2018,April,CA,Albany,76.00075892857141
2018,May,CA,Albany,78.6310794503348
2018,June,CA,Albany,81.41686174665176
2018,July,CA,Albany,82.22651227678568
2018,August,CA,Albany,81.58044817243301
2018,September,CA,Albany,84.57618443080354
2018,October,CA,Albany,82.93244925362723
2018,November,CA,Albany,74.94679338727676
2018,December,CA,Albany,66.77325038364953
2019,January,CA,Albany,65.98837140764506
2019,February,CA,Albany,68.69899675641737
2019,March,CA,Albany,72.67724033900667
2019,April,CA,Albany,75.49640537806916
2019,May,CA,Albany,78.00006399972096
2019,June,CA,Albany,80.85977382114953
2019,July,CA,Albany,81.63712716238837
2019,August,CA,Albany,82.34187918526784
2019,September,CA,Albany,83.66013916015623
2019,October,CA,Albany,83.41364519391739
2019,November,CA,Albany,74.63198800223213
2019,December,CA,Albany,66.20705688476562
2020,January,CA,Albany,66.09582815987721
2020,February,CA,Albany,70.63521937779016
2020,March,CA,Albany,73.47230259486604
2020,April,CA,Albany,75.96663330078123
2020,May,CA,Albany,77.90548217773436
2020,June,CA,Albany,81.75001691545758
2020,July,CA,Albany,82.20740129743301
2020,August,CA,Albany,81.42787423270087
2020,September,CA,Albany,83.73504760742186
2020,October,CA,Albany,81.6731989397321
2020,November,CA,Albany,75.84842041015624
2020,December,CA,Albany,66.29276332310266
2021,January,CA,Albany,65.56538992745533
2021,February,CA,Albany,69.49952340262274
2021,March,CA,Albany,72.73639910016739
2021,April,CA,Albany,74.95746582031246
2021,May,CA,Albany,78.92186924525669
2021,June,CA,Albany,80.12044625418524
2021,July,CA,Albany,81.35334245954239
2021,August,CA,Albany,81.87894147600443
2021,September,CA,Albany,83.39524309430801
2021,October,CA,Albany,81.94646554129461
2021,November,CA,Albany,74.17380057198659
2021,December,CA,Albany,67.34149727957589
2022,January,CA,Albany,66.74736973353792
2022,February,CA,Albany,69.10413853236604
2022,March,CA,Albany,73.71536725725446
2022,April,CA,Albany,74.74581420898433
2022,May,CA,Albany,78.58482700892856
2022,June,CA,Albany,80.25009015764506
2022,July,CA,Albany,83.06422502790177
2022,August,CA,Albany,81.64655186244417
2022,September,CA,Albany,84.11872680664062
2022,October,CA,Albany,81.94546630859372
2022,November,CA,Albany,75.13750558035713
2022,December,CA,Albany,66.63020315987721
2023,January,CA,Albany,66.62576677594863
2023,February,CA,Albany,70.16987513950892
2023,March,CA,Albany,72.03477033342631
2023,April,CA,Albany,75.32835117885043
2023,May,CA,Albany,79.01764910016739
2023,June,CA,Albany,81.76542654854909
2006,January,FL,Alachua,78.2496576799665
2006,February,FL,Alachua,81.31853934151783
2006,March,FL,Alachua,84.66214721679687
2006,April,FL,Alachua,90.44417061941962
2006,May,FL,Alachua,95.70176164899551
2006,June,FL,Alachua,99.06650251116068
2006,July,FL,Alachua,99.73103934151784
2006,August,FL,Alachua,97.95682059151783
2006,September,FL,Alachua,95.21622349330353
2006,October,FL,Alachua,90.81086024693077
2006,November,FL,Alachua,85.87924403599328
2006,December,FL,Alachua,80.22768327985489
2007,January,FL,Alachua,80.50333548409597
2007,February,FL,Alachua,81.02699358258926
2007,March,FL,Alachua,85.2793434361049
2007,April,FL,Alachua,90.43059204101559
2007,May,FL,Alachua,97.40513427734372
2007,June,FL,Alachua,99.90376796177452
2007,July,FL,Alachua,98.94748657226557
2007,August,FL,Alachua,97.0178531319754
2007,September,FL,Alachua,95.69967163085934
2007,October,FL,Alachua,90.10685634068078
2007,November,FL,Alachua,86.1954122488839
2007,December,FL,Alachua,80.27967476981024
2008,January,FL,Alachua,78.79924351283479
2008,February,FL,Alachua,81.05483607700891
2008,March,FL,Alachua,86.4039536830357
2008,April,FL,Alachua,90.01749564034597
2008,May,FL,Alachua,95.30585885184148
2008,June,FL,Alachua,99.43403703962052
2008,July,FL,Alachua,99.62268537248883
2008,August,FL,Alachua,99.15194475446427
2008,September,FL,Alachua,96.04849016462052
2008,October,FL,Alachua,89.65387433733255
2008,November,FL,Alachua,85.64561976841517
2008,December,FL,Alachua,80.65070399693076
2009,January,FL,Alachua,79.06704572405133
2009,February,FL,Alachua,80.68205426897319
2009,March,FL,Alachua,84.11316040039061
2009,April,FL,Alachua,89.20751552036829
2009,May,FL,Alachua,93.78491420200892
2009,June,FL,Alachua,97.95882690429683
2009,July,FL,Alachua,97.59970476422988
2009,August,FL,Alachua,97.0535142299107
2009,September,FL,Alachua,93.35216273716516
2009,October,FL,Alachua,90.74193150111604
2009,November,FL,Alachua,86.63070887974328
2009,December,FL,Alachua,80.22731706891737
2010,January,FL,Alachua,79.06084629603794
2010,February,FL,Alachua,81.48723964146204
2010,March,FL,Alachua,85.07646780831472
2010,April,FL,Alachua,90.56700299944194
2010,May,FL,Alachua,95.53434570312497
2010,June,FL,Alachua,97.6376939174107
2010,July,FL,Alachua,98.94865321568076
2010,August,FL,Alachua,98.03712803431918
2010,September,FL,Alachua,96.59061052594863
2010,October,FL,Alachua,90.37865286690844
2010,November,FL,Alachua,85.88071672712051
2010,December,FL,Alachua,81.52189627511159
2011,January,FL,Alachua,79.46542044503344
2011,February,FL,Alachua,80.99617431640621
2011,March,FL,Alachua,85.67196602957588
2011,April,FL,Alachua,91.00889665876113
2011,May,FL,Alachua,96.34101161411826
2011,June,FL,Alachua,100.26971470424107
2011,July,FL,Alachua,99.4945874023437
2011,August,FL,Alachua,98.55941807338166
2011,September,FL,Alachua,95.94788940429686
2011,October,FL,Alachua,90.27093976702005
2011,November,FL,Alachua,85.78089808872767
2011,December,FL,Alachua,78.25302420479909
2012,January,FL,Alachua,78.02893188476561
2012,February,FL,Alachua,81.33517839704238
2012,March,FL,Alachua,86.26694893973212
2012,April,FL,Alachua,91.80047206333703
2012,May,FL,Alachua,97.25436261858256
2012,June,FL,Alachua,99.23099661690847
2012,July,FL,Alachua,101.20345842633927
2012,August,FL,Alachua,98.5797061593192
2012,September,FL,Alachua,95.9429952566964
2012,October,FL,Alachua,90.7701166643415
2012,November,FL,Alachua,86.00987932477676
2012,December,FL,Alachua,81.10782156808034
2013,January,FL,Alachua,80.5895964704241
2013,February,FL,Alachua,82.11636125837052
2013,March,FL,Alachua,85.60677263532364
2013,April,FL,Alachua,90.55352382114951
2013,May,FL,Alachua,96.42915858677455
2013,June,FL,Alachua,98.8285648018973
2013,July,FL,Alachua,99.54611328124996
2013,August,FL,Alachua,99.25889404296872
2013,September,FL,Alachua,97.61785051618301
2013,October,FL,Alachua,92.19569737025667
2013,November,FL,Alachua,85.48911429268969
2013,December,FL,Alachua,81.10595127650667
2014,January,FL,Alachua,78.60816510881695
2014,February,FL,Alachua,81.27146030970981
2014,March,FL,Alachua,85.38599975585934
2014,April,FL,Alachua,90.46913574218745
2014,May,FL,Alachua,96.05558680943079
2014,June,FL,Alachua,98.61280639648434
2014,July,FL,Alachua,100.62611642020086
2014,August,FL,Alachua,98.40954886300221
2014,September,FL,Alachua,95.17427403041293
2014,October,FL,Alachua,90.6479957798549
2014,November,FL,Alachua,85.91805977957587
2014,December,FL,Alachua,80.46512137276785
2015,January,FL,Alachua,80.05359967912945
2015,February,FL,Alachua,82.02759957449773
2015,March,FL,Alachua,86.49554042271204
2015,April,FL,Alachua,90.60799508231024
2015,May,FL,Alachua,95.99422031947543
2015,June,FL,Alachua,98.1534235491071
2015,July,FL,Alachua,99.0590631975446
2015,August,FL,Alachua,98.00473406110488
2015,September,FL,Alachua,94.97607020786826
2015,October,FL,Alachua,90.57736938476559
2015,November,FL,Alachua,85.88457763671875
2015,December,FL,Alachua,80.46506382533481
2016,January,FL,Alachua,79.53028686523434
2016,February,FL,Alachua,80.78949271065846
2016,March,FL,Alachua,84.5508792550223
2016,April,FL,Alachua,91.96280552455354
2016,May,FL,Alachua,95.70814418247767
2016,June,FL,Alachua,97.90402605329238
2016,July,FL,Alachua,99.33919886997766
2016,August,FL,Alachua,98.54705845424104
2016,September,FL,Alachua,97.49335187639507
2016,October,FL,Alachua,91.49540265764507
2016,November,FL,Alachua,85.87352591378347
2016,December,FL,Alachua,80.10430943080355
2017,January,FL,Alachua,79.25324567522318
2017,February,FL,Alachua,81.4214132254464
2017,March,FL,Alachua,84.71330165318079
2017,April,FL,Alachua,90.50746233258926
2017,May,FL,Alachua,96.55658429827007
2017,June,FL,Alachua,99.70127423967631
2017,July,FL,Alachua,100.36102678571426
2017,August,FL,Alachua,98.21774065290177
2017,September,FL,Alachua,95.5613825334821
2017,October,FL,Alachua,90.93406668526785
2017,November,FL,Alachua,85.22428623744419
2017,December,FL,Alachua,81.07946114676336
2018,January,FL,Alachua,79.64630510602676
2018,February,FL,Alachua,80.85542637416293
2018,March,FL,Alachua,86.40971888950891
2018,April,FL,Alachua,91.12263392857142
2018,May,FL,Alachua,96.69288800920758
2018,June,FL,Alachua,98.67038783482141
2018,July,FL,Alachua,99.15619018554686
2018,August,FL,Alachua,100.662426234654
2018,September,FL,Alachua,96.87956403459819
2018,October,FL,Alachua,91.81694632393972
2018,November,FL,Alachua,86.60258126395088
2018,December,FL,Alachua,80.18637730189732
2019,January,FL,Alachua,79.24994192940846
2019,February,FL,Alachua,81.86708932059149
2019,March,FL,Alachua,86.1082514299665
2019,April,FL,Alachua,91.32816196986604
2019,May,FL,Alachua,96.23486798967632
2019,June,FL,Alachua,98.92804077148436
2019,July,FL,Alachua,99.82547729492188
2019,August,FL,Alachua,98.7362561035156
2019,September,FL,Alachua,96.83735560825889
2019,October,FL,Alachua,92.24983904157364
2019,November,FL,Alachua,86.12186139787944
2019,December,FL,Alachua,81.30052176339282
2020,January,FL,Alachua,79.12084734235489
2020,February,FL,Alachua,81.68068272181917
2020,March,FL,Alachua,86.18787091936382
2020,April,FL,Alachua,91.56310459681916
2020,May,FL,Alachua,97.32206194196428
2020,June,FL,Alachua,99.17257027762274
2020,July,FL,Alachua,98.36888636997764
2020,August,FL,Alachua,99.16514927455356
2020,September,FL,Alachua,96.48226440429686
2020,October,FL,Alachua,91.04931326729908
2020,November,FL,Alachua,86.51172171456473
2020,December,FL,Alachua,81.17732578822542
2021,January,FL,Alachua,80.02914725167409
2021,February,FL,Alachua,81.6303731863839
2021,March,FL,Alachua,87.03419747488837
2021,April,FL,Alachua,91.36422066824774
2021,May,FL,Alachua,96.70074061802454
2021,June,FL,Alachua,99.34896100725445
2021,July,FL,Alachua,99.20130737304684
2021,August,FL,Alachua,98.882787562779
2021,September,FL,Alachua,97.45201189313615
2021,October,FL,Alachua,91.23480957031248
2021,November,FL,Alachua,86.98277884347097
2021,December,FL,Alachua,80.91862653459819
2022,January,FL,Alachua,78.60077287946426
2022,February,FL,Alachua,81.6223636300223
2022,March,FL,Alachua,86.77288766043526
2022,April,FL,Alachua,91.29576799665178
2022,May,FL,Alachua,96.07952130998883
2022,June,FL,Alachua,99.82409354073658
2022,July,FL,Alachua,99.74417585100443
2022,August,FL,Alachua,99.86757324218749
2022,September,FL,Alachua,96.50281930106026
2022,October,FL,Alachua,91.10315673828123
2022,November,FL,Alachua,86.2454105050223
2022,December,FL,Alachua,81.41874773297988
2023,January,FL,Alachua,79.53833827427454
2023,February,FL,Alachua,81.1935044642857
2023,March,FL,Alachua,85.63051618303568
2023,April,FL,Alachua,91.37711129324774
2023,May,FL,Alachua,96.60433035714284
2023,June,FL,Alachua,100.58123203822544
2006,January,MS,Ackerman,68.28475987025668
2006,February,MS,Ackerman,71.71026559012273
2006,March,MS,Ackerman,77.42364013671873
2006,April,MS,Ackerman,83.61012782505577
2006,May,MS,Ackerman,89.57071829659597
2006,June,MS,Ackerman,94.84601824079239
2006,July,MS,Ackerman,99.6217306082589
2006,August,MS,Ackerman,98.23465698242188
2006,September,MS,Ackerman,93.88622384207589
2006,October,MS,Ackerman,87.80618321010041
2006,November,MS,Ackerman,79.14696602957586
2006,December,MS,Ackerman,71.682645438058
2007,January,MS,Ackerman,68.30099870954238
2007,February,MS,Ackerman,72.77459751674105
2007,March,MS,Ackerman,78.28573468889506
2007,April,MS,Ackerman,84.79773681640624
2007,May,MS,Ackerman,90.81020891462052
2007,June,MS,Ackerman,96.01710588727676
2007,July,MS,Ackerman,98.2683091517857
2007,August,MS,Ackerman,98.12853951590398
2007,September,MS,Ackerman,94.31419363839284
2007,October,MS,Ackerman,88.3463391113281
2007,November,MS,Ackerman,79.4387733677455
2007,December,MS,Ackerman,72.10639857700892
2008,January,MS,Ackerman,68.91382655552454
2008,February,MS,Ackerman,73.23162876674105
2008,March,MS,Ackerman,77.94473214285712
2008,April,MS,Ackerman,84.79692068917409
2008,May,MS,Ackerman,91.75262398856023
2008,June,MS,Ackerman,96.35257341657363
2008,July,MS,Ackerman,99.34988961356025
2008,August,MS,Ackerman,98.26712419782363
